ENSG00000226286,ENST00000440516
ENSG00000272235,ENST00000607061
ENSG00000130762,ENST00000378378
ENSG00000272088,ENST00000606489
ENSG00000162591,ENST00000294599
ENSG00000207776,ENST00000385042
ENSG00000238260,ENST00000435049
ENSG00000158109,ENST00000378344
ENSG00000116213,ENST00000378322
ENSG00000078900,ENST00000378295
ENSG00000227589,ENST00000443034
ENSG00000235131,ENST00000416554
ENSG00000227372,ENST00000418088
ENSG00000162592,ENST00000294600
ENSG00000235169,ENST00000444870
ENSG00000130764,ENST00000378251
ENSG00000266075,ENST00000581512
ENSG00000272153,ENST00000607459
ENSG00000116198,ENST00000378230
ENSG00000169598,ENST00000378209
ENSG00000264428,ENST00000579705
ENSG00000198912,ENST00000486765
ENSG00000236423,ENST00000413332
ENSG00000233304,ENST00000456897
ENSG00000226374,ENST00000425194
ENSG00000229280,ENST00000449232
ENSG00000235054,ENST00000423197
ENSG00000227169,ENST00000438791
ENSG00000232596,ENST00000420522
ENSG00000196581,ENST00000378190
ENSG00000231510,ENST00000443270
ENSG00000260972,ENST00000564261
ENSG00000264341,ENST00000579887
ENSG00000236948,ENST00000413887
ENSG00000216045,ENST00000401226
ENSG00000264101,ENST00000582517
ENSG00000131697,ENST00000460696
ENSG00000266687,ENST00000585151
ENSG00000069424,ENST00000378111
ENSG00000268332,ENST00000594544
ENSG00000116254,ENST00000262450
ENSG00000116251,ENST00000484532
ENSG00000226944,ENST00000455744
ENSG00000158286,ENST00000466994
ENSG00000116237,ENST00000343813
ENSG00000225077,ENST00000441724
ENSG00000173673,ENST00000377898
ENSG00000158292,ENST00000377893
ENSG00000097021,ENST00000608083
ENSG00000271746,ENST00000607670
ENSG00000069812,ENST00000377837
ENSG00000187017,ENST00000377828
ENSG00000265392,ENST00000585139
ENSG00000231868,ENST00000419034
ENSG00000215788,ENST00000473343
ENSG00000171680,ENST00000489097
ENSG00000162408,ENST00000377705
ENSG00000253022,ENST00000517213
ENSG00000229519,ENST00000456162
ENSG00000173662,ENST00000333172
ENSG00000204859,ENST00000319084
ENSG00000162413,ENST00000377658
ENSG00000116273,ENST00000377648
ENSG00000041988,ENST00000054650
ENSG00000007923,ENST00000465508
ENSG00000228750,ENST00000432429
ENSG00000239166,ENST00000459253
ENSG00000237436,ENST00000442889
ENSG00000171735,ENST00000303635
ENSG00000227950,ENST00000433407
ENSG00000237365,ENST00000456701
ENSG00000207056,ENST00000384328
ENSG00000237402,ENST00000427317
ENSG00000237728,ENST00000457311
ENSG00000225126,ENST00000440032
ENSG00000270171,ENST00000602640
ENSG00000270035,ENST00000602973
ENSG00000269978,ENST00000602916
ENSG00000049245,ENST00000054666
ENSG00000269925,ENST00000602406
ENSG00000049246,ENST00000377541
ENSG00000236266,ENST00000451646
ENSG00000049247,ENST00000377516
ENSG00000049249,ENST00000377507
ENSG00000270330,ENST00000603760
ENSG00000116288,ENST00000493373
ENSG00000200344,ENST00000363474
ENSG00000116285,ENST00000474874
ENSG00000238290,ENST00000445300
ENSG00000232848,ENST00000399343
ENSG00000229305,ENST00000453364
ENSG00000200975,ENST00000364105
ENSG00000227634,ENST00000452982
ENSG00000233645,ENST00000424689
ENSG00000265414,ENST00000585092
ENSG00000251977,ENST00000516168
ENSG00000162426,ENST00000471889
ENSG00000252254,ENST00000516445
ENSG00000142599,ENST00000337907
ENSG00000232912,ENST00000449895
ENSG00000221083,ENST00000408156
ENSG00000270282,ENST00000605785
ENSG00000234619,ENST00000437586
ENSG00000224315,ENST00000428803
ENSG00000222511,ENST00000410579
ENSG00000226545,ENST00000445254
ENSG00000228423,ENST00000433876
ENSG00000229716,ENST00000436229
ENSG00000074800,ENST00000234590
ENSG00000236269,ENST00000414948
ENSG00000230679,ENST00000442636
ENSG00000201725,ENST00000364855
ENSG00000238249,ENST00000425872
ENSG00000232208,ENST00000424862
